event,tree,sample_size,IntCal20_count,IntCal20_percentage,IntCal20_standard_error,BNN_count,BNN_percentage,BNN_standard_error
first event,Alpine Larch,47,41,87,0.04867665951114657,45,96,0.029442485362623977
first event,Bristlecone Pine (USA),45,41,91,0.04242317352081883,44,98,0.021973921443246423
first event,German Oak,110,101,92,0.026133219358118392,103,94,0.023274405931194835
first event,sub-total,202,183,91,0.02053881065307951,192,95,0.015262425610060639
second event,Alpine Larch,26,15,58,0.09689066801072671,19,73,0.08698929247330862
second event,Bristlecone Pine (USA),21,13,62,0.10597116957413082,16,76,0.0929428640903365
second event,Irish Oak,120,99,82,0.034686092313779025,105,88,0.030190368221227996
second event,Sibirian Larch,26,18,69,0.09051513929454648,21,81,0.07729201466043273
second event,sub-total,193,145,75,0.03111491767815337,161,83,0.02677022144194476
the two events,total,395,328,83,0.018883334215413577,353,89,0.01551016273255446
